well,analyte,date,value_ug_per_L,nondetect
MW-12,Pentachlorophenol,2005-05-09,1.1,0
MW-12,Pentachlorophenol,2006-05-22,6.0,0
MW-12,Pentachlorophenol,2006-12-12,0.5,1
MW-12,Pentachlorophenol,2007-05-30,6.1,0
MW-12,Pentachlorophenol,2007-11-26,1.4,0
MW-12,Pentachlorophenol,2008-05-20,5.4,0
MW-12,Pentachlorophenol,2008-11-17,4.1,0
MW-12,Pentachlorophenol,2009-06-24,7.2,0
MW-12,Pentachlorophenol,2009-12-17,0.5,1
MW-12,Pentachlorophenol,2010-11-18,0.9,0
MW-12,Pentachlorophenol,2014-05-05,3.5,0
MW-12,Pentachlorophenol,2014-11-19,8.5,0
MW-12,Pentachlorophenol,2015-05-27,5.3,0
MW-12,Pentachlorophenol,2015-11-03,8.5,0
MW-12,Pentachlorophenol,2016-06-08,3.9,0
MW-12,Pentachlorophenol,2016-11-10,0.48,0
MW-12,Pentachlorophenol,2017-06-02,6.4,0
MW-12,Pentachlorophenol,2017-11-14,3.4,0
MW-12,Pentachlorophenol,2018-06-12,3.9,0
MW-12,Pentachlorophenol,2018-11-15,0.16,0
MW-12,Pentachlorophenol,2019-06-04,1.1,0
MW-12,Pentachlorophenol,2019-11-05,0.73,0
MW-12,Pentachlorophenol,2020-06-02,1.9,0
MW-12,Pentachlorophenol,2020-11-24,0.5,1
MW-12,Pentachlorophenol,2021-06-02,1.8,0
MW-12,Pentachlorophenol,2021-11-02,1.8,0
MW-12,Pentachlorophenol,2022-06-10,3.2,0
MW-12,Pentachlorophenol,2022-11-10,0.85,0
MW-12,Pentachlorophenol,2023-08-23,1.7,0
MW-12,Pentachlorophenol,2024-07-29,0.75,0
MW-12,Arsenic,2005-05-09,26.9,0
MW-12,Arsenic,2006-05-22,4.6,0
MW-12,Arsenic,2006-12-12,45.0,0
MW-12,Arsenic,2007-05-30,14.3,0
MW-12,Arsenic,2007-11-26,37.7,0
MW-12,Arsenic,2008-05-20,8.1,0
MW-12,Arsenic,2008-11-17,50.8,0
MW-12,Arsenic,2009-06-24,10.5,0
MW-12,Arsenic,2009-12-17,21.4,0
MW-13,Pentachlorophenol,2005-05-09,56.0,0
MW-13,Pentachlorophenol,2006-05-24,190.0,0
MW-13,Pentachlorophenol,2006-12-12,27.0,0
MW-13,Pentachlorophenol,2007-05-30,150.0,0
MW-13,Pentachlorophenol,2008-05-20,22.0,0
MW-13,Pentachlorophenol,2008-11-18,1.3,0
MW-13,Pentachlorophenol,2009-06-25,16.0,0
MW-13,Pentachlorophenol,2010-11-17,4.8,0
MW-13,Pentachlorophenol,2014-05-05,0.5,1
MW-13,Pentachlorophenol,2015-05-27,0.5,1
MW-14,Pentachlorophenol,2010-11-17,0.5,1
MW-23,Pentachlorophenol,2005-05-09,5.8,0
MW-23,Pentachlorophenol,2006-05-23,9.4,0
MW-23,Pentachlorophenol,2006-12-12,4.1,0
MW-23,Pentachlorophenol,2007-05-30,3.7,0
MW-23,Pentachlorophenol,2007-11-26,6.1,0
MW-23,Pentachlorophenol,2008-05-19,4.7,0
MW-23,Pentachlorophenol,2008-11-17,3.7,0
MW-23,Pentachlorophenol,2009-06-24,4.1,0
MW-23,Pentachlorophenol,2009-12-16,1.4,0
MW-23,Pentachlorophenol,2010-11-18,1.1,0
MW-23,Pentachlorophenol,2014-05-05,1.3,0
MW-23,Pentachlorophenol,2014-11-19,1.1,0
MW-23,Pentachlorophenol,2015-05-27,0.78,0
MW-23,Pentachlorophenol,2015-11-03,0.84,0
MW-25,Pentachlorophenol,2006-02-23,1.7,0
MW-25,Pentachlorophenol,2006-05-24,1.8,0
MW-25,Pentachlorophenol,2006-12-11,1.3,0
MW-25,Pentachlorophenol,2007-05-30,0.5,1
MW-25,Pentachlorophenol,2007-11-28,0.91,0
MW-25,Pentachlorophenol,2008-05-20,0.5,1
MW-25,Pentachlorophenol,2008-11-18,0.5,1
MW-25,Pentachlorophenol,2009-06-24,0.5,1
MW-25,Pentachlorophenol,2009-12-16,0.5,1
MW-25,Pentachlorophenol,2010-11-18,0.16,0
MW-25,Arsenic,2006-02-23,4.5,0
MW-25,Arsenic,2006-05-24,4.7,0
MW-25,Arsenic,2007-11-28,4.0,0
MW-25,Arsenic,2008-05-20,4.5,0
MW-25,Arsenic,2008-11-18,4.5,0
MW-25,Arsenic,2009-06-24,4.5,0
MW-25,Arsenic,2009-12-17,5.3,0
MW-26,Pentachlorophenol,2006-02-23,0.5,1
MW-26,Pentachlorophenol,2006-05-23,0.2,1
MW-26,Pentachlorophenol,2006-12-12,0.5,1
MW-26,Pentachlorophenol,2007-05-30,0.5,1
MW-26,Pentachlorophenol,2007-11-28,0.5,1
MW-26,Pentachlorophenol,2008-05-20,0.5,1
MW-26,Pentachlorophenol,2008-11-18,0.5,1
MW-26,Arsenic,2006-02-23,4.0,0
MW-26,Arsenic,2007-11-28,1.0,0
MW-26,Arsenic,2008-05-20,2.0,0
MW-26,Arsenic,2008-11-18,2.3,0
MW-27,Pentachlorophenol,2006-02-23,73.0,0
MW-27,Pentachlorophenol,2006-05-24,74.0,0
